"Data","Último","Abertura","Máxima","Mínima","Var%"
"04.05.2020","5,5450","5,6141","5,6143","5,5187","1,08%"
"01.05.2020","5,4856","5,4861","5,4861","5,4861","-0,00%"
"30.04.2020","5,4858","5,3346","5,4875","5,3306","2,83%"
"29.04.2020","5,3348","5,5019","5,5280","5,3340","-3,00%"
"28.04.2020","5,4999","5,6085","5,6221","5,4710","-2,70%"
"27.04.2020","5,6526","5,5427","5,7260","5,5345","1,11%"
"24.04.2020","5,5907","5,5339","5,7484","5,5339","1,03%"
"23.04.2020","5,5335","5,4557","5,5567","5,4008","1,38%"
"22.04.2020","5,4580","5,3184","5,4644","5,3028","2,67%"
"21.04.2020","5,3163","5,3172","5,3176","5,3166","-0,01%"
"20.04.2020","5,3168","5,2864","5,3201","5,2642","1,54%"
"17.04.2020","5,2363","5,2341","5,2761","5,2066","0,06%"
"16.04.2020","5,2333","5,2336","5,2683","5,2007","-0,06%"
"15.04.2020","5,2367","5,2228","5,2684","5,2157","1,45%"
"14.04.2020","5,1621","5,1811","5,2123","5,1484","-0,72%"
"13.04.2020","5,1994","5,1219","5,2088","5,1038","1,82%"
"10.04.2020","5,1063","5,1068","5,1068","5,1068","-0,01%"
"09.04.2020","5,1070","5,1260","5,1533","5,0487","-0,32%"
"08.04.2020","5,1233","5,2237","5,2489","5,1112","-1,88%"
"07.04.2020","5,2214","5,2817","5,2868","5,1819","-1,23%"
"06.04.2020","5,2863","5,2998","5,3114","5,2235","-1,20%"
"03.04.2020","5,3506","5,2566","5,3541","5,2557","1,85%"
"02.04.2020","5,2533","5,2485","5,2850","5,2221","0,08%"
"01.04.2020","5,2493","5,2252","5,2747","5,2210","0,86%"
"31.03.2020","5,2046","5,1881","5,2150","5,1680","0,21%"
"30.03.2020","5,1936","5,1180","5,1961","5,1128","1,84%"
"27.03.2020","5,0997","5,0235","5,1283","5,0235","1,56%"
"26.03.2020","5,0212","5,0349","5,0660","4,9733","-0,28%"
"25.03.2020","5,0353","5,0995","5,1109","4,9722","-1,24%"
"24.03.2020","5,0983","5,1431","5,1431","5,0412","-0,90%"
"23.03.2020","5,1444","5,0628","5,1479","5,0050","1,61%"
"20.03.2020","5,0627","5,0010","5,0662","4,9820","-0,65%"
"19.03.2020","5,0957","5,1098","5,2140","5,0682","-0,21%"
"18.03.2020","5,1064","5,0103","5,2550","5,0073","1,96%"
"17.03.2020","5,0084","5,0357","5,0873","4,9594","0,16%"
"16.03.2020","5,0002","4,8600","5,0690","4,8600","2,93%"
"13.03.2020","4,8580","4,7095","4,8810","4,6424","1,40%"
"12.03.2020","4,7910","4,8149","5,0284","4,7501","-0,47%"
"11.03.2020","4,8136","4,6400","4,8284","4,6400","3,69%"
"10.03.2020","4,6425","4,6742","4,6873","4,6345","-1,71%"
"09.03.2020","4,7231","4,7600","4,7943","4,7052","2,08%"
"06.03.2020","4,6269","4,6358","4,6720","4,6108","0,43%"
"05.03.2020","4,6073","4,5993","4,6672","4,5844","0,49%"
"04.03.2020","4,5847","4,5140","4,5881","4,5026","1,56%"
"03.03.2020","4,5144","4,4744","4,5184","4,4521","0,90%"
"02.03.2020","4,4740","4,4949","4,5068","4,4690","0,02%"
"28.02.2020","4,4733","4,5070","4,5143","4,4642","-0,29%"
"27.02.2020","4,4861","4,4497","4,5021","4,4471","0,81%"
"26.02.2020","4,4502","4,3884","4,4553","4,3880","1,42%"
"25.02.2020","4,3878","4,3883","4,3888","4,3879","0,00%"
"24.02.2020","4,3878","4,3884","4,3884","4,3883","-0,04%"
"21.02.2020","4,3895","4,3939","4,4068","4,3712","-0,09%"
"20.02.2020","4,3933","4,3653","4,3985","4,3580","0,65%"
"19.02.2020","4,3649","4,3564","4,3779","4,3562","0,21%"
"18.02.2020","4,3557","4,3280","4,3645","4,3252","0,66%"
"17.02.2020","4,3270","4,3003","4,3320","4,2969","0,69%"
"14.02.2020","4,2974","4,3504","4,3504","4,2906","-1,20%"
"13.02.2020","4,3498","4,3552","4,3835","4,3081","-0,11%"
"12.02.2020","4,3548","4,3319","4,3558","4,3232","0,54%"
"11.02.2020","4,3316","4,3252","4,3411","4,2969","0,16%"
"10.02.2020","4,3248","4,3210","4,3293","4,3040","0,10%"
"07.02.2020","4,3203","4,2825","4,3240","4,2793","0,89%"
"06.02.2020","4,2822","4,2357","4,2861","4,2086","1,11%"
"05.02.2020","4,2353","4,2552","4,2614","4,2263","-0,45%"
"04.02.2020","4,2545","4,2480","4,2625","4,2232","0,16%"
"03.02.2020","4,2476","4,2816","4,2828","4,2294","-0,80%"
"31.01.2020","4,2820","4,2438","4,2905","4,2438","0,92%"
"30.01.2020","4,2430","4,2304","4,2726","4,2303","0,30%"
